Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date
62,77,79,97,2019
78,90,68,89,2020
76,,69,77,2018
65,,73,84,2021
,78,65,85,2020
72,88,,96,2019
64,86,74,93,2019
68,78,63,81,2019
75,91,66,,2020
73,90,78,78,2020
71,93,71,92,2018
70,86,61,94,2021
,,,82,2020
76,84,73,88,2021
77,83,77,87,2021
79,82,74,93,2018
61,88,75,95,2018
,89,63,77,2021
63,93,69,93,2018
65,,65,97,2021
74,79,,84,2020
69,94,73,81,2020
78,,72,91,2021
77,86,77,93,2019
,88,70,,2019
66,94,65,76,2019
72,76,68,84,2019
73,,69,92,2019
65,84,73,96,2021
75,82,,78,2019
